,银行,3月利率,3月发行日,3月发行量,1年利率,1年发行日,1年发行量,6月利率,6月发行日,6月发行量,9月利率,9月发行日,9月发行量,1月利率,1月发行日,1月发行量
0,国家开发银行,,,,,,,,,,,,,,,
1,中国工商银行,,,,,,,,,,,,,,,
2,中国建设银行,,,,,,,,,,,,,,,
3,中国农业银行,,,,,,,,,,,,,,,
4,中国银行,2.43,2019-7-12,2.4,3.05,2019-7-12,13.3,,,,,,,,,
5,交通银行,2.44,2019-7-10,13.7,3.07,2019-7-12,76.6,2.85,2019-4-16,,2.97,2019-7-5,4.2,,,
6,招商银行,,,,3.07,2019-7-12,30,,,,2.96,2019-7-12,1,,,
7,兴业银行,2.5,2019-7-12,10,3.07,2019-7-12,25,,,,2.95,2019-7-12,1,,,
8,中信银行,2.5,2019-7-12,10.6,3.08,2019-7-12,37,2.6,2019-7-4,0.5,2.97,2019-7-11,1,,,
9,上海浦东发展银行,,,,,,,,,,,,,,,
10,中国民生银行,,,,,,,,,,,,,,,
11,中国光大银行,,,,,,,,,,,,,,,
12,平安银行,2.45,2019-7-9,40,3.08,2019-7-12,50,,,,2.96,2019-7-12,10,,,
13,华夏银行,2.5,2019-7-12,1.1,3.08,2019-7-12,31.7,2.65,2019-7-12,0.5,2.97,2019-7-11,0.5,,,
14,广发银行,2.45,2019-7-9,10,3.06,2019-7-5,1,2.65,2019-7-11,5,,,,,,
15,恒丰银行,3,2019-6-24,10,,,,3.12,2019-6-27,5,,,,2.95,2019-6-28,10
16,浙商银行,,,,,,,,,,,,,,,
17,渤海银行,2.7,2019-7-12,4.5,3.2,2019-7-12,1,3,2019-7-12,4,3.1,2019-7-10,3,2.85,2019-6-27,18
18,鞍山银行,,,,,,,,,,,,,,,
19,包商银行,,,,,,,,,,,,,3.1,2019-6-28,5
20,保定银行,,,,,,,,,,,,,,,
21,北京银行,,,,3.1,2019-7-12,5,,,,,,,,,
22,沧州银行,,,,,,,,,,,,,,,
23,成都银行,2.7302,2019-7-12,10,3.1899,2019-7-10,1.9,,,,,,,,,
24,承德银行,3.5,2019-6-26,5,,,,,,,,,,3.31,2019-6-24,15
25,达州银行,,,,4.05,2019-7-12,3,3.72,2019-7-12,3,3.8,2019-7-12,3,,,
26,长城华西银行,3.55,2019-7-10,5,4,2019-7-2,0.5,3.7,2019-7-11,2.5,3.7,2019-6-26,2.5,,,
27,东莞银行,2.73,2019-7-12,10,3.2,2019-7-11,5,3,2019-7-10,5,3.15,2019-7-10,5,,,
28,东营银行,3.52,2019-6-26,3,4,2019-7-12,3,3.68,2019-7-10,2,,,,,,
29,抚顺银行,,,,,,,,,,,,,2.551,2019-7-5,3
30,阜新银行,3.45,2019-6-24,5,4.02,2019-7-12,5,,,,,,,,,
31,富滇银行,3.1501,2019-7-5,3,3.65,2019-7-5,3,3.5,2019-7-3,3,3.6,2019-7-3,3,2.95,2019-6-26,10
32,甘肃银行,,,,3.25,2019-7-8,1.9,3,2019-7-3,0.5,,,,,,
33,赣州银行,2.95,2019-6-27,5,3.4,2019-7-12,5,3.25,2019-7-12,5,3.3,2019-7-12,5,,,
34,广东华兴银行,3.2,2019-7-10,1.3,3.6,2019-7-10,0.5,3.4,2019-7-10,1.4,3.5,2019-7-10,0.5,2.46,2019-7-11,0.5
35,广东南粤银行,3,2019-7-11,3,3.65,2019-7-10,3,3.45,2019-7-11,2,3.5,2019-7-8,1.5,2.9,2019-6-27,8
36,广州银行,,,,3.15,2019-7-12,13.5,,,,,,,,,
37,贵阳银行,,,,,,,,,,3.11,2019-7-12,4,,,
38,贵州银行,,,,,,,,,,,,,,,
39,桂林银行,3,2019-7-12,2.8,3.45,2019-7-12,5.5,3.45,2019-6-24,5,3.4,2019-7-12,1,,,
40,哈尔滨银行,3.05,2019-7-8,10,,,,,,,,,,2.55,2019-7-8,5
41,邯郸银行,3.35,2019-7-4,5,,,,,,,,,,2.8,2019-7-8,5
42,汉口银行,3.15,2019-7-4,5,3.55,2019-7-8,10,3.35,2019-7-4,5,3.4,2019-7-8,10,,,
43,杭州银行,,,,3.15,2019-6-27,10,,,,,,,,,
44,河北银行,,,,,,,,,,3.12,2019-6-27,0.8,,,
45,葫芦岛银行,,,,,,,,,,,,,,,
46,湖北银行,3.15,2019-7-4,1,,,,3.3,2019-7-8,1,,,,,,
47,湖州银行,,,,,,,,,,,,,,,
48,华融湘江银行,2.73,2019-7-12,5,3.22,2019-7-5,2.1,3.02,2019-7-12,9,3.2,2019-7-12,3.5,,,
49,徽商银行,,,,,,,,,,,,,,,
50,吉林银行,,,,,,,,,,,,,,,
51,济宁银行,,,,3.98,2019-6-26,0.9,,,,3.67,2019-6-24,1,,,
52,江苏银行,,,,3.12,2019-7-12,2.5,,,,3.05,2019-7-12,10,2.35,2019-7-12,5
53,江西银行,,,,3.18,2019-7-8,3,2.95,2019-7-5,8.5,3.1,2019-7-5,1,2.37,2019-7-4,3
54,锦州银行,,,,,,,3.18,2019-6-27,2,,,,2.8,2019-6-25,0.5
55,晋城银行,3.55,2019-7-12,3,4.05,2019-7-12,4,3.72,2019-7-11,2,3.8,2019-7-2,2,2.5,2019-7-11,0.5
56,晋商银行,,,,3.58,2019-7-10,6.1,3.3,2019-7-9,7,3.52,2019-7-10,2,,,
57,晋中银行,3.6,2019-7-12,0.5,4.05,2019-7-3,1,3.77,2019-7-3,1,,,,,,
58,九江银行,,,,3.23,2019-7-11,1,2.95,2019-7-10,0.5,3.15,2019-7-12,0.5,,,
59,昆仑银行,,,,3.25,2019-7-11,10,2.95,2019-7-9,0.5,,,,,,
60,兰州银行,2.6,2019-6-26,5.3,,,,,,,,,,2.4,2019-7-12,4
61,乐山市商业银行,,,,,,,,,,,,,,,
62,辽阳银行,3.55,2019-7-5,2.2,3.9,2019-7-9,1,3.5,2019-6-24,1.5,,,,2.45,2019-7-2,2
63,泸州市商业银行,,,,,,,,,,,,,,,
64,洛阳银行,,,,,,,3.2,2019-7-8,2,,,,,,
65,绵阳市商业银行,,,,,,,,,,,,,,,
66,四川天府银行,3.2,2019-6-28,0.5,3.58,2019-7-10,0.5,3.4,2019-7-12,1.5,3.5,2019-7-12,1,,,
67,南京银行,,,,,,,,,,,,,,,
68,宁波通商银行,3,2019-7-12,0.5,,,,3.25,2019-7-12,3,3.3,2019-7-12,2,,,
69,宁波银行,2.67,2019-7-12,20,3.11,2019-7-12,10,,,,3.05,2019-7-12,10,,,
70,宁夏银行,,,,,,,3.37,2019-7-10,2,,,,,,
71,盘锦银行,,,,,,,,,,,,,,,
72,平顶山银行,3.45,2019-6-27,2,4.1,2019-6-27,5,,,,,,,,,
73,齐鲁银行,,,,,,,,,,3.04,2019-6-26,3,2.45,2019-6-25,10
74,齐商银行,,,,,,,,,,,,,,,
75,秦皇岛银行,,,,,,,,,,,,,,,
76,青岛银行,,,,,,,,,,,,,,,
77,青海银行,3.45,2019-6-24,3,,,,,,,,,,,,
78,日照银行,3.15,2019-7-12,1.5,3.61,2019-7-12,0.5,3.46,2019-7-12,1,3.55,2019-7-10,1,3.3,2019-6-27,0.5
79,厦门国际银行,2.7,2019-7-12,8.5,3.2,2019-7-12,2.5,,,,3.11,2019-6-27,0.5,2.4,2019-7-2,1
80,厦门银行,,,,,,,,,,,,,,,
81,上海银行,2.65,2019-7-12,23,3.11,2019-7-10,10.2,,,,,,,2.42,2019-7-12,34.2
82,盛京银行,3.05,2019-6-28,5,,,,3.1,2019-7-8,2.5,,,,2.49,2019-7-10,5
83,石嘴山银行,3.7,2019-7-12,1,4.12,2019-7-12,1,3.8,2019-7-12,1,3.9,2019-7-11,1,3,2019-7-12,1
84,苏州银行,2.7,2019-7-12,1,3.2,2019-7-5,3.5,2.85,2019-6-27,1,,,,2.48,2019-7-12,12.2
85,遂宁银行,,,,,,,,,,,,,,,
86,台州银行,3.15,2019-7-9,18,,,,3.35,2019-7-9,15,,,,,,
87,天津银行,2.6,2019-6-27,0.5,3.25,2019-7-12,2,2.8,2019-6-25,2,3.18,2019-7-12,2,2.3,2019-7-9,1
88,威海市商业银行,,,,,,,,,,,,,,,
89,潍坊银行,3.52,2019-7-12,0.5,4,2019-7-11,1.5,,,,,,,,,
90,温州银行,,,,3.7,2019-6-26,1,3.1,2019-7-11,0.5,3.6,2019-7-9,3.9,,,
91,乌海银行,3.7,2019-7-12,2,4.1,2019-7-12,2,3.8,2019-7-11,2,3.85,2019-7-12,2,3.1,2019-7-12,1.5
92,乌鲁木齐银行,,,,3.65,2019-7-4,1.7,3.5,2019-7-4,2.3,3.6,2019-7-4,0.5,,,
93,西安银行,2.6,2019-7-5,0.5,3.19,2019-7-11,2,3,2019-7-5,10,3.1,2019-7-5,1,,,
94,宜宾市商业银行,,,,,,,,,,,,,,,
95,营口银行,3.55,2019-7-12,2,3.85,2019-7-11,2,3.6,2019-6-26,5,,,,2.45,2019-7-2,5
96,张家口银行,2.9,2019-7-12,0.9,,,,,,,,,,,,
97,长安银行,,,,,,,,,,,,,,,
98,长沙银行,2.7,2019-7-10,4.7,3.18,2019-7-9,1,2.96,2019-7-10,3.7,3.15,2019-7-10,15.5,,,
99,浙江稠州商业银行,,,,,,,,,,,,,,,
100,浙江泰隆商业银行,,,,,,,,,,,,,,,
101,郑州银行,,,,3.18,2019-7-12,1,2.95,2019-7-11,0.5,3.12,2019-7-12,2.9,2.5,2019-6-25,10
102,中原银行,2.7,2019-7-12,5,3.17,2019-7-12,5,2.9,2019-7-5,2,3.07,2019-7-12,5,2.35,2019-7-11,3
103,重庆三峡银行,2.9,2019-7-12,3.5,,,,,,,,,,,,
104,重庆银行,,,,,,,,,,3.18,2019-7-10,3,2.35,2019-7-10,1.3
105,自贡银行,,,,,,,,,,,,,,,
106,中德住房储蓄银行,,,,,,,3.4,2019-7-10,0.5,,,,,,
107,北京农,,,,3.15,2019-7-12,10,2.88,2019-7-12,0.5,3.06,2019-7-12,2,2.4804,2019-6-24,20
108,东莞农,,,,,,,2.8,2019-6-26,10.5,3.1,2019-6-26,1.5,,,
109,广东顺德农,2.6,2019-7-8,1.4,3.2,2019-7-5,5,2.9,2019-7-5,1,3.1,2019-7-9,1,,,
110,广州农,2.56,2019-6-26,10,3.22,2019-7-3,4,2.76,2019-6-26,5,3.06,2019-6-25,4,2.4,2019-6-27,10
111,海口农,,,,,,,,,,,,,,,
112,杭州联合农,,,,,,,,,,,,,,,
113,合肥科技农,,,,3.75,2019-7-3,1.5,3.15,2019-7-4,1,,,,,,
114,江苏常熟农,,,,,,,,,,,,,,,
115,江苏江南农,,,,3.18,2019-7-12,3.4,2.95,2019-7-12,1,3.11,2019-7-12,2,2.48,2019-7-11,5
116,江苏昆山农,,,,,,,,,,,,,,,
117,江苏吴江农,,,,,,,,,,,,,,,
118,江苏张家港农,,,,,,,,,,,,,,,
119,江苏紫金农,,,,,,,,,,3.6,2019-6-24,5,3.05,2019-6-24,10
120,厦门农,,,,3.5,2019-7-12,1,3.4,2019-7-2,2.9,3.45,2019-7-12,2.5,,,
121,上海农,2.72,2019-7-10,5,,,,2.76,2019-6-27,1.2,,,,2.42,2019-7-10,2.1
122,深圳农,2.6,2019-6-27,20,,,,,,,,,,2.5,2019-6-27,10
123,天津滨海农,3.52,2019-7-12,2,3.75,2019-7-5,1.5,3.6,2019-7-12,1,3.6,2019-6-28,1,2.5,2019-7-12,1.5
124,天津农,3.15,2019-7-11,5.5,,,,3.4,2019-7-11,3,,,,2.45,2019-7-10,3
125,无锡农,2.9,2019-7-11,5.5,,,,,,,,,,,,
126,芜湖扬子农,,,,,,,3.75,2019-7-12,2,,,,,,
127,武汉农,,,,3.65,2019-7-4,20,3.4,2019-7-5,1,3.3,2019-7-10,5,,,
128,长春发展农,,,,,,,,,,,,,,,
129,浙江绍兴瑞丰农,,,,,,,,,,,,,,,
130,浙江萧山农,,,,,,,,,,,,,,,
131,中山农,,,,,,,,,,,,,,,
132,重庆农,2.67,2019-7-12,5,3.15,2019-7-11,3,2.9,2019-7-5,3,3.07,2019-7-11,2,2.4,2019-7-12,8
133,山西证券,,,,,,,,,,,,,,,
134,中国石化财务,,,,,,,,,,,,,,,
135,中国长城资产管理,,,,,,,,,,,,,,,
136,安徽马鞍山农,,,,,,,,,,,,,,,
